x,y,z,cp
-9.620016e-02,1.117158e-02,4.461341e+00,-1.327380e+00
-8.184966e-02,1.679956e-02,4.461351e+00,-1.213931e+00
-6.410602e-02,2.256568e-02,4.461363e+00,-1.128560e+00
-4.272706e-02,2.836029e-02,4.461377e+00,-1.081783e+00
-1.765216e-02,3.386816e-02,4.461393e+00,-1.050176e+00
1.086061e-02,3.867340e-02,4.461411e+00,-1.043639e+00
4.218126e-02,4.203614e-02,4.461430e+00,-1.034458e+00
7.529081e-02,4.268189e-02,4.461450e+00,-8.766752e-01
1.087062e-01,4.054076e-02,4.461470e+00,-6.067472e-01
1.409184e-01,3.727628e-02,4.461489e+00,-4.004352e-01
1.708286e-01,3.408151e-02,4.461508e+00,-2.762980e-01
1.977149e-01,3.111981e-02,4.461524e+00,-1.924602e-01
2.212224e-01,2.837069e-02,4.461539e+00,-1.275597e-01
2.413020e-01,2.575191e-02,4.461551e+00,-6.262292e-02
2.581116e-01,2.320382e-02,4.461562e+00,2.022380e-02
2.719565e-01,2.083409e-02,4.461571e+00,1.271432e-01
2.832419e-01,1.893860e-02,4.461579e+00,1.825077e-01
2.938360e-01,1.999876e-02,4.311019e+00,4.273062e-01
2.824953e-01,1.967778e-02,4.311018e+00,4.223293e-01
2.686097e-01,1.840784e-02,4.311016e+00,4.110305e-01
2.518445e-01,1.592993e-02,4.311014e+00,3.972641e-01
2.319423e-01,1.195787e-02,4.311012e+00,3.641811e-01
2.088017e-01,6.172357e-03,4.311010e+00,3.240797e-01
1.825420e-01,-1.626524e-03,4.311007e+00,2.657523e-01
1.535824e-01,-1.140887e-02,4.311004e+00,1.571592e-01
1.225554e-01,-2.263184e-02,4.311001e+00,-1.126275e-02
9.003456e-02,-3.371732e-02,4.310997e+00,-2.223935e-01
5.650639e-02,-4.196667e-02,4.310994e+00,-3.729275e-01
2.316846e-02,-4.558920e-02,4.310991e+00,-3.344070e-01
-8.111291e-03,-4.503671e-02,4.310988e+00,-1.475559e-01
-3.597342e-02,-4.188486e-02,4.310985e+00,6.387469e-02
-5.987553e-02,-3.744652e-02,4.310983e+00,2.732064e-01
-7.981003e-02,-3.243330e-02,4.310981e+00,4.689333e-01
-9.606991e-02,-2.732083e-02,4.310979e+00,6.652141e-01
-1.090796e-01,-2.233395e-02,4.310978e+00,8.660583e-01
-1.192384e-01,-1.742979e-02,4.310976e+00,1.001232e+00
-1.258756e-01,-1.176937e-02,4.310975e+00,-1.300568e-02
-1.261236e-01,-5.824958e-03,4.310975e+00,-3.783382e+00
-1.206341e-01,-4.379526e-04,4.310976e+00,-2.000009e+00
-1.122098e-01,4.887257e-03,4.310978e+00,-1.635782e+00
-1.008767e-01,1.039106e-02,4.310979e+00,-1.442420e+00
-8.633753e-02,1.618025e-02,4.310981e+00,-1.294319e+00
-6.820836e-02,2.220331e-02,4.310983e+00,-1.180264e+00
-4.618148e-02,2.834883e-02,4.310985e+00,-1.126090e+00
-2.014511e-02,3.428904e-02,4.310988e+00,-1.088380e+00
9.659031e-03,3.957301e-02,4.310991e+00,-1.089280e+00
4.257449e-02,4.339081e-02,4.310994e+00,-1.094127e+00
7.751028e-02,4.434782e-02,4.310997e+00,-9.186672e-01
